Date,State,City,M.S,PM10,NO2,SO2
16-08-2023,WB,KOLKATA,Bidhanagar,73,13,12
17-08-2023,WB,KOLKATA,Bidhanagar,56,28,14
18-08-2023,WB,KOLKATA,Bidhanagar,38,24,12
19-08-2023,WB,KOLKATA,Bidhanagar,21,12,14
20-08-2023,WB,KOLKATA,Bidhanagar,55,12,14
21-08-2023,WB,KOLKATA,Bidhanagar,74,14,14
22-08-2023,WB,KOLKATA,Bidhanagar,52,16,12
23-08-2023,WB,KOLKATA,Bidhanagar,53,18,12
24-08-2023,WB,KOLKATA,Bidhanagar,40,26,17
25-08-2023,WB,KOLKATA,Bidhanagar,39,28,13
26-08-2023,WB,KOLKATA,Bidhanagar,51,28,13
27-08-2023,WB,KOLKATA,Bidhanagar,79,21,18
28-08-2023,WB,KOLKATA,Bidhanagar,122,25,17
29-08-2023,WB,KOLKATA,Bidhanagar,174,34,13
30-08-2023,WB,KOLKATA,Bidhanagar,135,48,6
31-08-2023,WB,KOLKATA,Bidhanagar,134,29,2
1/9/2023,WB,KOLKATA,Bidhanagar,106,25,9
2/9/2023,WB,KOLKATA,Bidhanagar,103,21,10
3/9/2023,WB,KOLKATA,Bidhanagar,60,31,13
4/9/2023,WB,KOLKATA,Bidhanagar,42,18,15
5/9/2023,WB,KOLKATA,Bidhanagar,33,17,16
6/9/2023,WB,KOLKATA,Bidhanagar,26,12,13
7/9/2023,WB,KOLKATA,Bidhanagar,15,11,15
8/9/2023,WB,KOLKATA,Bidhanagar,5,10,21
9/9/2023,WB,KOLKATA,Bidhanagar,5,10,26
10/9/2023,WB,KOLKATA,Bidhanagar,5,10,34
11/9/2023,WB,KOLKATA,Bidhanagar,5,10,41
12/9/2023,WB,KOLKATA,Bidhanagar,6,10,39
13/09/2023,WB,KOLKATA,Bidhanagar,30,13,16
